GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventario,com.udla,Product,26,99,3,9,3,32,4,15,1,12
inventario,com.udla,Inventory,76,85,1,1,21,18,10,7,9,7
